Term	P-value	Genes
HMDB09816	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09817	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09818	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09819	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09810	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09812	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09811	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09814	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09813	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09828	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
