Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
PRKDC,24,227,0.1188118811881188,0.050077211559673505,0.0687346696284453,1.3772944762799436E-4,-0.8909362970337108,7.9206190821909175,XRCC6;RFC1;JUN;MAPK8;CHEK1;CHEK2;TP53BP1;ATM;PARP1;NFKB1;NFKB2;TP53;RELA;RELB;SRF;SRC;BRCA1;ABL1;E2F1;HSP90AA1;MDM2;PRKDC;RAF1;SP1
IKBKB,14,87,0.06930693069306931,0.019192587690271344,0.05011434300279797,8.086843736644337E-5,-0.7678110581031077,7.234843240192572,NFKB1;FOXO3;NFKB2;CTNNB1;FOS;CDKN2A;HSP90AA1;RELA;TUBA4A;UBB;SRC;HSPA8;SMARCC1;PARP1
CSNK2A2,26,267,0.12871287128712872,0.05890138980807412,0.0698114814790546,2.439926754426469E-4,-0.857918907693992,7.136488921847575,CTNNB1;SIN3A;RFC1;HUWE1;JUN;MAPK3;CREBBP;MYC;TOP2A;CCNH;TP53;RELA;PSMA3;TRRAP;ATF2;HDAC2;HDAC1;FOS;MAX;EGR1;CDK1;HSP90AA1;ESR1;NCL;FKBP3;SP1
RPS6KA3,32,365,0.15841584158415842,0.08052062651665563,0.07789521506750278,2.725056326853667E-4,-0.8271021017287138,6.788731039128818,MAPK1;HNF4A;HUWE1;MAPK3;CHEK1;MAP2K1;CREBBP;SMAD3;SMAD2;AR;TP53;TRIM28;GSK3B;XPO1;FOXO3;HSPB1;TRRAP;SRF;SRC;HDAC4;CDKN1A;SMARCC1;SMARCC2;MTOR;E2F1;FOS;CDK1;ESR1;MDM2;CEBPB;CREB1;RAF1
CDK9,11,38,0.054455445544554455,0.008382969335980588,0.04607247620857387,4.5426241648581735E-6,-0.4670912667678268,5.746159427605714,CCNT1;NFKB1;CUL1;AR;RELA;SKP2;TP53;CDK9;SMAD3;RB1;SMAD1
MAP3K1,17,139,0.08415841584158416,0.030664019413192148,0.053494396428392016,2.98622336051791E-4,-0.5759143616167102,4.67431151343529,RPS27A;MAPK1;TUBA4A;MAPK8;GRB2;MAP2K1;CCT5;HSP90AA1;ESR1;UBE2I;NCL;UBC;RUVBL2;UBB;USP9X;HSPA8;RAF1
MAP2K1,10,39,0.04950495049504951,0.008603573792190603,0.040901376702858906,3.0566391280596125E-5,-0.4079544334224652,4.240934974176692,MYOD1;ELK1;MYC;MAP2K1;RAF1;MAPK1;EP300;GSK3B;MAPK14;MAPK3
RPS6KA5,10,37,0.04950495049504951,0.00816236487977057,0.04134258561527894,2.0755934409290422E-5,-0.3889959896728119,4.194418638629024,ELK1;SRF;ATF2;CEBPB;CREB1;RELA;CREBBP;MAPK11;STAT1;EP300
MAP2K3,9,20,0.04455445544554455,0.004412089124200309,0.04014236632134424,1.8669467768402242E-6,-0.25994899498772583,3.42904079465894,MAP2K3;SMAD4;ELK1;SMAD3;SMAD2;SMAD1;MAPK12;MAPK14;MAPK3
RPS6KA1,12,75,0.0594059405940594,0.01654533421575116,0.04286060637830824,2.7621908613129515E-4,-0.37431537736811044,3.067258566965593,FOS;ESR1;ESR2;MAPK1;MAPK3;GRB2;SRF;CEBPB;CREB1;CREBBP;GSK3B;MTOR
PRKCD,17,146,0.08415841584158416,0.032208250606662256,0.05195016523492191,5.02793729290363E-4,-0.3439181720355768,2.6121721997608436,MAPK1;PPP1CA;EP300;MAPK3;HSPB1;MAPK8;SRC;KLF5;CREBBP;HSP90AA1;TP53;PRKDC;TRIM28;RAF1;STAT1;TP73;GSK3B
PLK3,9,18,0.04455445544554455,0.003970880211780278,0.040583575233764276,9.41352540747665E-7,-0.1559169007245296,2.163494825910818,MAP2K1;TP53;CHEK2;ATF2;MAPK1;HIF1A;JUN;NPM1;TOP2A
MAPK11,9,27,0.04455445544554455,0.005956320317670417,0.038598135127874134,1.3521524542823934E-5,-0.13566881115234336,1.5210139379129604,E2F1;ELK1;ATF2;BCL2;EWSR1;ESR2;HDAC3;HNF4A;JUN
PRKD1,10,54,0.04950495049504951,0.011912640635340834,0.03759230985970867,3.2184282069204186E-4,-0.08785463475419364,0.7064784124577146,CTNNB1;JUN;HSPB1;MAPK9;TFAP2A;MAPK8;SRC;CREB1;YWHAQ;ABL1
IKBKE,10,60,0.04950495049504951,0.013236267372600927,0.03626868312244858,6.74155432765162E-4,0.09852501185857578,-0.7194345491693709,NFKB1;CUL1;HSP90AA1;RELA;ESR1;TUBA4A;RUVBL1;HSPA8;STAT1;CCT5
PAK1,12,92,0.0594059405940594,0.020295609971321422,0.039110330622737985,0.0014222696801304863,0.15594010703445213,-1.0222655770542768,CSNK2A2;CSNK2A1;CTBP1;ESR1;GRB2;MAP2K1;SMAD4;RAF1;SMAD2;SMAD1;PLK1;ABL1
PLK1,12,92,0.0594059405940594,0.020295609971321422,0.039110330622737985,0.0014222696801304863,0.18740403668861602,-1.228527409343534,CTNNB1;TOP2A;YY1;TP53;PSMA3;TUBA4A;MDM2;CHEK2;NPM1;BRCA2;TP73;PLK1
CDK5,12,103,0.0594059405940594,0.02272225898963159,0.03668368160442781,0.003361390276618626,0.2829864661268699,-1.6117212940035484,CTNNB1;PPP1CA;SRC;MAP2K1;HTT;ATM;ABL1;MYC;TP53;PURA;BCL2;MAPK10
RAF1,11,84,0.054455445544554455,0.018530774321641297,0.03592467122291316,0.0021730614525327617,0.3130688082426214,-1.9196184331738693,MYC;AR;HSP90AA1;RB1;MAPK1;BCL2;HSPA4;HSPA8;MAP2K1;PHB;RAF1
MAPK9,16,162,0.07920792079207921,0.0357379219060225,0.04346999888605671,0.003516286027850986,0.34012272920422726,-1.9218124466713657,CTNNB1;JUN;MAPK8;ELK1;ATF2;JUND;SMAD3;SMAD2;KAT5;DNMT1;FOS;MYC;TP53;RB1;BCL2;MAPK10
MAP3K7,12,102,0.0594059405940594,0.022501654533421574,0.03690428606063783,0.003125332075224346,0.35485337012284013,-2.046870439147129,RELA;TUBA4A;MAPK8;SMAD3;DDX5;HDAC4;FOS;HSP90AA1;RUVBL2;RUVBL1;UBB;HSPA8
RPS6KA2,8,21,0.039603960396039604,0.004632693580410324,0.03497126681562928,1.8908568393836903E-5,0.20338006029714228,-2.211940259077164,MAP2K1;CREB1;ESR1;SRF;MAPK1;FOS;GSK3B;MAPK3
ROCK1,1,44,0.0049504950495049506,0.009706596073240679,-0.004756101023735728,0.8607210012211217,15.417386236558098,-2.3123746312763602,SMAD2
ERBB4,1,41,0.0049504950495049506,0.009044782704610633,-0.004094287655105683,0.8410646051145702,14.724196150310432,-2.548564031932839,GRB2
CSNK1D,11,85,0.054455445544554455,0.018751378777851314,0.03570406676670314,0.002364496179099714,0.46736936803631807,-2.826271514433437,CTNNB1;RBL1;TP53;NCL;HIF1A;RFC1;MDM2;PRKDC;SRF;YWHAQ;DNMT1
ERBB3,2,61,0.009900990099009901,0.013456871828810942,-0.003555881729801041,0.7578221314591932,11.351787762924802,-3.1479253953637927,GRB2;SRC
PRKCG,2,61,0.009900990099009901,0.013456871828810942,-0.003555881729801041,0.7578221314591932,11.572833945620454,-3.2092229554123066,TOP2A;GSK3B
PRKCZ,12,104,0.0594059405940594,0.022942863445841608,0.036463077148217796,0.003611681341089781,0.6030521249944221,-3.39131299654773,RELA;MAPK1;MAPK3;SRC;MAP2K1;CREBBP;NCL;SQSTM1;VHL;RAF1;SP1;GSK3B
BMPR2,1,38,0.0049504950495049506,0.008382969335980588,-0.003432474286475637,0.818649748953342,17.281308567730193,-3.457971587668231,CTBP1
INSR,7,175,0.034653465346534656,0.0386057798367527,-0.003952314490218045,0.6664310984129842,9.769560240859592,-3.9646685066442595,BCR;SRC;PHB;SMAD2;ABL1;HSPA4;RAF1
PRKCA,34,487,0.16831683168316833,0.10743437017427752,0.0608824615088908,0.006865893311900252,0.8013338371333631,-3.9915953931624286,MAPK9;AR;TP53;TP73;GSK3B;RBL1;EP300;HSPB1;ATF2;CDKN1A;ABL1;E2F1;ESR1;NCL;RAF1;BCR;HUWE1;CHEK2;TP53BP1;CREBBP;SMAD3;DDX5;TOP2A;BCL2;MYOD1;TOP1;AHR;SRF;SRC;NPM1;EWSR1;BRCA1;FOS;HSP90AA1
JAK3,1,35,0.0049504950495049506,0.00772115596735054,-0.0027706609178455898,0.7930915189172432,17.433868368939006,-4.041461058336406,STAT1
